epoch,step,train_loss,val_loss
0,28,,0.18463847041130066
1,49,0.578530490398407,
1,57,,0.18154026567935944
2,86,,0.168980672955513
3,99,0.40829262137413025,
3,115,,0.16380086541175842
4,144,,0.15136350691318512
5,149,0.26223304867744446,
5,173,,0.15563082695007324
6,199,0.35592320561408997,
6,202,,0.14155100286006927
7,231,,0.13052663207054138
8,249,0.36040565371513367,
8,260,,0.12879551947116852
9,289,,0.12597520649433136
10,299,0.2966662645339966,
10,318,,0.11836270242929459
11,347,,0.11251585185527802
12,349,0.40928715467453003,
12,376,,0.11041156202554703
13,399,0.21692723035812378,
13,405,,0.10197602957487106
14,434,,0.1037323996424675
15,449,0.2592294216156006,
15,463,,0.09910218417644501
16,492,,0.0963868573307991
17,499,0.21501995623111725,
17,521,,0.09384936094284058
18,549,0.23152771592140198,
18,550,,0.09118098020553589
19,579,,0.09134966880083084
20,599,0.1835239827632904,
20,608,,0.09049165993928909
21,637,,0.0897907093167305
22,649,0.17586016654968262,
22,666,,0.08563867211341858
23,695,,0.08546988666057587
24,699,0.2232053279876709,
24,724,,0.08509696274995804
25,749,0.2326141595840454,
25,753,,0.08184881508350372
26,782,,0.08158249408006668
27,799,0.2051014006137848,
27,811,,0.08192300796508789
28,840,,0.08044110983610153
29,849,0.20208683609962463,
29,869,,0.07966051250696182
30,898,,0.08079328387975693
31,899,0.1961694210767746,
31,927,,0.07948049157857895
32,949,0.144581139087677,
32,956,,0.07832756638526917
33,985,,0.07881099730730057
34,999,0.11183654516935349,
34,1014,,0.07634972780942917
35,1043,,0.07657192647457123
36,1049,0.12043251842260361,
36,1072,,0.07749685645103455
37,1099,0.12283190339803696,
37,1101,,0.07680866122245789
38,1130,,0.07672785967588425
39,1149,0.1907843053340912,
39,1159,,0.07795286178588867
40,1188,,0.07497557252645493
41,1199,0.10201865434646606,
41,1217,,0.07575136423110962
42,1246,,0.07518520951271057
43,1249,0.1296631246805191,
43,1275,,0.0746053010225296
44,1299,0.12434110790491104,
44,1304,,0.07614988088607788
45,1333,,0.07516264170408249
46,1349,0.16575999557971954,
46,1362,,0.07442239671945572
47,1391,,0.07347872853279114
48,1399,0.11421063542366028,
48,1420,,0.0740913674235344
49,1449,0.1249166950583458,
49,1449,,0.0747186467051506
50,1478,,0.07371138036251068
51,1499,0.10324890911579132,
51,1507,,0.07278427481651306
52,1536,,0.0732632651925087
53,1549,0.10506109893321991,
53,1565,,0.07336346805095673
54,1594,,0.0733528733253479
55,1599,0.1093435138463974,
55,1623,,0.07343676686286926
56,1649,0.11014125496149063,
56,1652,,0.07379182428121567
57,1681,,0.0735333189368248
58,1699,0.10474354773759842,
58,1710,,0.07243524491786957
59,1739,,0.0726594552397728
60,1749,0.09198247641324997,
60,1768,,0.07170471549034119
61,1797,,0.07220781594514847
62,1799,0.1142936423420906,
62,1826,,0.07207893580198288
63,1849,0.11070562899112701,
63,1855,,0.07243424654006958
64,1884,,0.07175757735967636
65,1899,0.10239209979772568,
65,1913,,0.07219444960355759
66,1942,,0.07198379933834076
67,1949,0.11552779376506805,
67,1971,,0.07199238985776901
68,1999,0.08018910139799118,
68,2000,,0.07180409133434296
69,2029,,0.07224033772945404
70,2049,0.09220519661903381,
70,2058,,0.07170214504003525
71,2087,,0.0719064474105835
72,2099,0.084416463971138,
72,2116,,0.07157297432422638
73,2145,,0.07085584104061127
74,2149,0.09890002757310867,
74,2174,,0.07134460657835007
75,2199,0.08494774252176285,
75,2203,,0.07147984951734543
76,2232,,0.07171094417572021
77,2249,0.08331435918807983,
77,2261,,0.07129643857479095
78,2290,,0.07094212621450424
79,2299,0.09967143833637238,
79,2319,,0.07095316797494888
80,2348,,0.07084760069847107
81,2349,0.10094408690929413,
81,2377,,0.07068080455064774
82,2399,0.08549310266971588,
82,2406,,0.07060980796813965
83,2435,,0.07097834348678589
84,2449,0.08730979263782501,
84,2464,,0.07088445127010345
85,2493,,0.07067447155714035
86,2499,0.08255953341722488,
86,2522,,0.07041770964860916
87,2549,0.08709469437599182,
87,2551,,0.07055450230836868
88,2580,,0.07040031254291534
89,2599,0.07788576185703278,
89,2609,,0.07039792090654373
90,2638,,0.07021962851285934
91,2649,0.08793361485004425,
91,2667,,0.07023940980434418
92,2696,,0.07055919617414474
93,2699,0.09003131836652756,
93,2725,,0.07003558427095413
94,2749,0.08560216426849365,
94,2754,,0.07014620304107666
95,2783,,0.07018551230430603
96,2799,0.07374568283557892,
96,2812,,0.07009604573249817
97,2841,,0.07029972225427628
98,2849,0.08827735483646393,
98,2870,,0.07015649974346161
99,2899,0.08146578073501587,
99,2899,,0.07029949873685837
100,2928,,0.07023768126964569
101,2949,0.0743439570069313,
101,2957,,0.07019547373056412
102,2986,,0.07021741569042206
103,2999,0.07020396739244461,
103,3015,,0.07022606581449509
