epoch,step,train_loss,val_loss
0,28,,0.29039278626441956
1,49,0.5819692611694336,
1,57,,0.27760806679725647
2,86,,0.2551754415035248
3,99,0.43142014741897583,
3,115,,0.27560552954673767
4,144,,0.22617602348327637
5,149,0.39653438329696655,
5,173,,0.20989099144935608
6,199,0.3395369350910187,
6,202,,0.21385620534420013
7,231,,0.18383453786373138
8,249,0.35976067185401917,
8,260,,0.17222167551517487
9,289,,0.12898173928260803
10,299,0.3662191927433014,
10,318,,0.12121346592903137
11,347,,0.12242322415113449
12,349,0.3633100390434265,
12,376,,0.10253803431987762
13,399,0.27589184045791626,
13,405,,0.1557128131389618
14,434,,0.09553607553243637
15,449,0.3327677249908447,
15,463,,0.11977845430374146
16,492,,0.13143718242645264
17,499,0.23841221630573273,
17,521,,0.11606679856777191
18,549,0.26918911933898926,
18,550,,0.09373300522565842
19,579,,0.1015627384185791
20,599,0.21380023658275604,
20,608,,0.09038523584604263
21,637,,0.08995932340621948
22,649,0.19532811641693115,
22,666,,0.08406684547662735
23,695,,0.0859808474779129
24,699,0.2010953575372696,
24,724,,0.09132936596870422
25,749,0.1807488650083542,
25,753,,0.1035701259970665
26,782,,0.07765962183475494
27,799,0.18608137965202332,
27,811,,0.07651869207620621
28,840,,0.07318326830863953
29,849,0.16765305399894714,
29,869,,0.07980772852897644
30,898,,0.07376280426979065
31,899,0.17094875872135162,
31,927,,0.0758449137210846
32,949,0.19751711189746857,
32,956,,0.0745263323187828
33,985,,0.07869471609592438
34,999,0.15110847353935242,
34,1014,,0.07445387542247772
35,1043,,0.07340658456087112
36,1049,0.1397339254617691,
36,1072,,0.07321851700544357
37,1099,0.1332174390554428,
37,1101,,0.07409536093473434
38,1130,,0.07534489780664444
