epoch,step,train_loss,val_loss
0,14,,0.2149745225906372
1,29,,0.12894316017627716
2,44,,0.09162139147520065
3,49,0.1098850816488266,
3,59,,0.06866830587387085
4,74,,0.05536036938428879
5,89,,0.0439726784825325
6,99,0.10397396981716156,
6,104,,0.036092609167099
7,119,,0.03241695836186409
8,134,,0.03054998442530632
9,149,0.05787001550197601,
9,149,,0.027168406173586845
10,164,,0.02754039131104946
11,179,,0.023256249725818634
12,194,,0.023091284558176994
13,199,0.04539432376623154,
13,209,,0.022786101326346397
14,224,,0.021162156015634537
15,239,,0.020736224949359894
16,249,0.03240227699279785,
16,254,,0.020777832716703415
17,269,,0.019829992204904556
18,284,,0.01959487982094288
19,299,0.027171200141310692,
19,299,,0.019308017566800117
20,314,,0.01881122775375843
21,329,,0.01885407418012619
22,344,,0.018326064571738243
23,349,0.031658753752708435,
23,359,,0.017903514206409454
24,374,,0.017675116658210754
25,389,,0.017150701954960823
26,399,0.026860099285840988,
26,404,,0.017278824001550674
27,419,,0.01661859266459942
28,434,,0.016583068296313286
29,449,0.03105863370001316,
29,449,,0.016298243775963783
30,464,,0.016045544296503067
31,479,,0.01603591814637184
32,494,,0.016117144376039505
33,499,0.024474211037158966,
33,509,,0.016404559835791588
34,524,,0.015614498406648636
35,539,,0.015247272327542305
36,549,0.023489028215408325,
36,554,,0.015445763245224953
37,569,,0.015338671393692493
38,584,,0.014822120778262615
39,599,0.021975625306367874,
39,599,,0.01503975223749876
40,614,,0.014567112550139427
41,629,,0.014678804203867912
42,644,,0.014629705809056759
43,649,0.025282278656959534,
43,659,,0.01485916506499052
44,674,,0.014115005731582642
45,689,,0.014379904605448246
46,699,0.019982656463980675,
46,704,,0.014538864605128765
47,719,,0.014322671107947826
48,734,,0.014663450419902802
49,749,0.015156860463321209,
49,749,,0.013945957645773888
50,764,,0.013903777115046978
51,779,,0.014219090342521667
52,794,,0.014384277164936066
53,799,0.01932152733206749,
53,809,,0.013851837255060673
54,824,,0.013602119870483875
55,839,,0.013462935574352741
56,849,0.019594533368945122,
56,854,,0.013367640785872936
57,869,,0.013239814899861813
58,884,,0.013490375131368637
59,899,0.01690538227558136,
59,899,,0.013447008095681667
60,914,,0.01316183153539896
61,929,,0.013235137797892094
62,944,,0.013328730128705502
63,949,0.018682418391108513,
63,959,,0.012971745803952217
64,974,,0.012525155209004879
65,989,,0.012534360401332378
66,999,0.015393092297017574,
66,1004,,0.012738652527332306
67,1019,,0.012550875544548035
68,1034,,0.012559487484395504
69,1049,0.013574459590017796,
69,1049,,0.01261947676539421
70,1064,,0.012400542385876179
71,1079,,0.01254620123654604
72,1094,,0.012356933206319809
73,1099,0.016452396288514137,
73,1109,,0.011905262246727943
74,1124,,0.012386119924485683
75,1139,,0.01217966340482235
76,1149,0.016450902447104454,
76,1154,,0.012357213534414768
77,1169,,0.01232064887881279
78,1184,,0.01204567402601242
79,1199,0.019310392439365387,
79,1199,,0.011848515830934048
80,1214,,0.011601715348660946
81,1229,,0.012277506291866302
82,1244,,0.012163719162344933
83,1249,0.01661984995007515,
83,1259,,0.012675030156970024
84,1274,,0.011753278784453869
85,1289,,0.011855874210596085
86,1299,0.013125861994922161,
86,1304,,0.01246701367199421
87,1319,,0.012192687019705772
88,1334,,0.011819057166576385
89,1349,0.013512720353901386,
89,1349,,0.01168155763298273
90,1364,,0.011636422947049141
